epoch,jittor_total_loss,torch_total_loss,jittor_policy_loss,torch_policy_loss,jittor_value_loss,torch_value_loss,jittor_explained_variance,torch_explained_variance,jittor_approx_kl,torch_approx_kl,jittor_clip_frac,torch_clip_frac
1,0.0016041535418480635,0.01384301608777605,0.004749094136059284,0.008940270578023046,0.021435889473650604,0.03753104145289399,0.03737282380461693,0.05386856198310852,0.00021522369934245944,0.00019087655891780742,0.0,0.0
2,-0.018549212254583836,-0.03428146109217778,-0.007104187272489071,-0.022263678540184628,0.004834151302929968,0.003678004746689112,0.13154833391308784,0.10552121512591839,0.0012973083066754043,0.0045200122985988855,0.0,0.0
3,-0.027834512933623046,-0.03235066615161486,-0.014678664272651076,-0.019052440649829805,0.0014025548589415848,0.0010577728025964461,0.19023189321160316,0.1604924276471138,0.005382379167713225,0.018764625681797042,0.0,0.16350446501746774
4,-0.03464614518452436,-0.03793759149266407,-0.021314075915142894,-0.024602151825092733,0.000998849187453743,0.0009737436903378693,0.23720183968544006,0.21759223751723766,0.014467950444668531,0.01911024929722771,0.12321671098470688,0.2446986618451774
5,-0.04769469937309623,-0.04060284956358373,-0.03432531637372449,-0.027242491254583,0.0009111815270443913,0.0009297105880250456,0.2647927589714527,0.26749405451118946,0.01691738428780809,0.017881884530652314,0.16958219837397337,0.16238839365541935
6,-0.045712243707384914,-0.06194251908164006,-0.03233312169322744,-0.048558560316450894,0.0008904771020752378,0.000878685395946377,0.294561717659235,0.29165838472545147,0.0193745048600249,0.017736210284056142,0.17824388551525772,0.18498884048312902
7,-0.03524150024168193,-0.041928953083697706,-0.021840335190063342,-0.02850806585047394,0.0008469322274322622,0.0008048811405387823,0.3149775043129921,0.34061369113624096,0.018804341088980436,0.016401867353124544,0.17629076167941093,0.20061384001746774
8,-0.055296944570727646,-0.06519084025057964,-0.04187730682315305,-0.05172891588881612,0.0008165293329511769,0.0007246191235026345,0.33705539628863335,0.39782644994556904,0.018825801729690284,0.020172239048406482,0.14860733784735203,0.17410714365541935
9,-0.056150233023799956,-0.05218050206894986,-0.04272636049427092,-0.03869035770185292,0.0008064298926910851,0.0006689311167065171,0.3457898013293743,0.4286128580570221,0.017440618481487036,0.018719971703831106,0.16193953854963183,0.17243303591385484
10,-0.04625800531357527,-0.05361019936390221,-0.032816615770570934,-0.040086022461764514,0.0007746160736132879,0.000603968212089967,0.37828490510582924,0.5240272581577301,0.016901706345379353,0.012682482891250402,0.15446671261452138,0.16266741091385484
11,-0.04971847124397755,-0.038031178701203316,-0.03626814717426896,-0.024478756822645664,0.0007575736708531622,0.0005498996615642682,0.39305048808455467,0.5547475554049015,0.017266043985728174,0.015533281562966295,0.17314877826720476,0.15764509048312902
12,-0.06815894824103452,-0.06659212830709293,-0.05469415750121698,-0.05299785186070949,0.000733064331143396,0.0004698732268479944,0.4001414366066456,0.6034640558063984,0.014945999602787197,0.015679051235565566,0.1530230981297791,0.138671875
13,-0.04840539500582963,-0.045996062573976815,-0.034936357638798654,-0.03238434134982526,0.0007264241176017094,0.00043850061683770036,0.42032597586512566,0.6549776960164309,0.015195864019915462,0.016583493998041376,0.18673573108389974,0.1668526791036129
14,-0.06336125987581909,-0.06027618813095614,-0.04988411697559059,-0.04663910056842724,0.0007104606957000215,0.0003947793538827682,0.42788585647940636,0.6693184357136488,0.012787280953489244,0.011808117298642173,0.17034646589308977,0.16210937593132257
15,-0.06841979234013706,-0.055037726619048044,-0.054934999789111316,-0.04138787731062621,0.000697636927725398,0.0003708415256369335,0.44050657004117966,0.6677769292145967,0.012127793161198497,0.012008762161713094,0.1657608705572784,0.1688058045692742
16,-0.0726024234900251,-0.07110168793587945,-0.05911013553850353,-0.05744549963856116,0.000681839508615667,0.0003560857198863232,0.4498927481472492,0.7028944082558155,0.010058959771413356,0.0109823384846095,0.1619395383168012,0.16824776865541935
17,-0.0931496245902963,-0.1134469419484958,-0.07966164476238191,-0.09980131208430976,0.0006821957504143938,0.0003668846393338754,0.4572906382381916,0.7124811336398125,0.009391202358528972,0.0066839903010986745,0.1976902149617672,0.2184709836728871
18,-0.10276932443957776,-0.08695240676752292,-0.08927869505714625,-0.07331907225307077,0.0006635542777075898,0.0003412457376725797,0.46922922134399414,0.7315973825752735,0.008946319168899208,0.015647398366127163,0.2663892647251487,0.3437500009313226
19,-0.10936881584348157,-0.12175556665170006,-0.09588377631735057,-0.10812329151667655,0.0006437424217438092,0.00031723353004053934,0.48062262684106827,0.742239985615015,0.010382582491729409,0.01678200950846076,0.3444293439388275,0.4076450909487903
20,-0.11433921940624714,-0.11385794938541949,-0.10085899825207889,-0.10023862088564783,0.0006301919675024692,0.0003122203802377044,0.48826587572693825,0.7528685927391052,0.009874872674117796,0.024843251914717257,0.3790760785341263,0.4405691968277097
