epoch,jittor_reward,torch_reward,jittor_value_loss,torch_value_loss,jittor_policy_loss,torch_policy_loss
1,0.3670,0.4217,0.0200,0.0200,-0.000041,-0.000085
2,0.3711,0.3891,0.0229,0.0172,-0.000017,-0.000073
3,0.3794,0.3908,0.0249,0.0173,0.000001,-0.000062
4,0.3063,0.3787,0.0139,0.0163,-0.000019,-0.000044
5,0.3931,0.3702,0.0224,0.0155,0.000001,-0.000036
6,0.3198,0.4539,0.0171,0.0183,-0.000077,0.000024
7,0.4281,0.3695,0.0204,0.0180,0.000001,-0.000052
8,0.4548,0.4133,0.0216,0.0208,-0.000107,-0.000098
9,0.3825,0.4090,0.0201,0.0148,-0.000132,-0.000077
10,0.4054,0.4607,0.0155,0.0121,-0.000079,-0.000042
11,0.4257,0.3873,0.0171,0.0181,-0.000059,-0.000096
12,0.4454,0.4062,0.0114,0.0081,0.000007,-0.000163
13,0.4530,0.4215,0.0176,0.0071,-0.000061,-0.000110
14,0.4469,0.4942,0.0155,0.0106,-0.000071,-0.000017
15,0.4479,0.4139,0.0139,0.0075,-0.000086,-0.000079
16,0.3848,0.4360,0.0126,0.0070,-0.000058,-0.000095
17,0.4571,0.4540,0.0136,0.0111,-0.000094,-0.000117
18,0.4508,0.4444,0.0142,0.0091,-0.000123,-0.000082
19,0.4586,0.4396,0.0060,0.0096,-0.000093,-0.000091
20,0.4393,0.4604,0.0093,0.0084,-0.000128,-0.000131
