step,backend,outer_epoch,inner_epoch,num_steps,reward,raw_performance,policy_loss,value_loss,entropy,topk_entropy,topk_mass,topk_bin_entropy,approx_kl,clip_frac,explained_variance,value_mean,return_mean,advantage_mean,n_updates
0,jittor,0,0,116,0.36695024448930696,0.36695024448930696,-4.070531576871872e-05,0.019977361895143986,1.3862947225570679,1.0986136198043823,0.7499979436397552,0.5623373091220856,-1.2118240255376556e-05,0.0,0.0006366968154907227,-0.0263419346883893,0.16689791530370712,5.722977221012115e-07,2.0
1,jittor,0,1,95,0.3711011741106933,0.3711011741106933,-1.7460144590586424e-05,0.022918161936104298,1.3862934112548828,1.0986114740371704,0.7500380575656891,0.5622932016849518,-2.5745448778868862e-05,0.0,-0.002379477024078369,-0.01589977741241455,0.19328296929597855,2.284068614244461e-07,2.0
2,jittor,0,2,86,0.37939018942132086,0.37939018942132086,1.3937242329120636e-06,0.024930519051849842,1.3862948417663574,1.0986114144325256,0.7499745488166809,0.5623626708984375,3.914500582125058e-06,0.0,-0.00576329231262207,-0.006102092680521309,0.2108905240893364,-4.7963112592697144e-08,2.0
3,jittor,0,3,99,0.3062867019787086,0.3062867019787086,-1.8925522454082966e-05,0.01389493839815259,1.386292576789856,1.0986108779907227,0.750040203332901,0.5622902810573578,1.850995071461803e-05,0.0,0.0373435914516449,0.004622820066288114,0.16667265444993973,-7.3225237429142e-08,2.0
4,jittor,0,4,86,0.3930933862773513,0.3930933862773513,5.543697625398636e-07,0.022400095127522945,1.3862948417663574,1.0986112356185913,0.7500624060630798,0.5622662901878357,-1.398353089276938e-05,0.0,0.030913949012756348,0.015036618802696466,0.22372186928987503,-1.5082769095897675e-06,2.0
