step,backend,outer_epoch,inner_epoch,num_steps,reward,raw_performance,policy_loss,value_loss,entropy,topk_entropy,topk_mass,topk_bin_entropy,approx_kl,clip_frac,explained_variance,value_mean,return_mean,advantage_mean,n_updates
0,torch,0,0,119,0.42173336176380144,0.42173336176380144,-8.377407986870367e-05,0.01999679859727621,1.3862943649291992,1.0986123085021973,0.7500016391277313,0.5623334050178528,9.400504900836104e-06,0.0,0.0022832751274108887,0.022463584318757057,0.2097548469901085,-1.6529019575273196e-07,2.0
1,torch,0,1,109,0.35640694677974727,0.35640694677974727,-6.0615186384893605e-05,0.014392782934010029,1.3862941265106201,1.0986120104789734,0.7499963045120239,0.5623390674591064,-2.818369921442354e-06,0.0,0.007832080125808716,0.03083211090415716,0.19439216703176498,-3.52159531757934e-07,2.0
2,torch,0,2,103,0.3942087230184953,0.3942087230184953,-1.3677819765689492e-05,0.017580979503691196,1.3862935900688171,1.0986116528511047,0.7499536573886871,0.5623857975006104,2.6980650801533557e-05,0.0,0.015703052282333374,0.03711621277034283,0.2159413844347,4.166538225547356e-08,2.0
3,torch,0,3,95,0.3425094060070578,0.3425094060070578,-1.6060629199898813e-05,0.013037155847996473,1.3862931728363037,1.098611295223236,0.7500073909759521,0.5623266398906708,9.147744890469767e-07,0.0,0.038643866777420044,0.04661097750067711,0.20337219536304474,1.6940268210419163e-07,2.0
4,torch,0,4,86,0.3363345540764182,0.3363345540764182,-2.317650370287083e-06,0.012366972398012877,1.3862929940223694,1.098611056804657,0.7499907314777374,0.562344878911972,1.5660773072356804e-05,0.0,0.062214285135269165,0.05582825466990471,0.2110181450843811,-5.406002401286969e-07,2.0
